source,container,layer,file,features,geometry,status
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Structures,001_Structures_Backup_12_29_2025_2_Structures.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Nursery_Locations,,0,,empty_export
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Can_Yard_01_A,003_Structures_Backup_12_29_2025_2_Can_Yard_01_A.geojson,2,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Can_Yard_1_B,,0,,empty_export
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Can_Yard_1_A,005_Structures_Backup_12_29_2025_2_Can_Yard_1_A.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Can_Yard_02_C,006_Structures_Backup_12_29_2025_2_Can_Yard_02_C.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Can_Yard_01_B,007_Structures_Backup_12_29_2025_2_Can_Yard_01_B.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Can_Yard_01_C,008_Structures_Backup_12_29_2025_2_Can_Yard_01_C.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Can_Yard_02_A,009_Structures_Backup_12_29_2025_2_Can_Yard_02_A.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Can_Yard_02_B,010_Structures_Backup_12_29_2025_2_Can_Yard_02_B.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Can_Yard_02_D,011_Structures_Backup_12_29_2025_2_Can_Yard_02_D.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,High_Tunnels_05_A,012_Structures_Backup_12_29_2025_2_High_Tunnels_05_A.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,High_Tunnels_05_C,013_Structures_Backup_12_29_2025_2_High_Tunnels_05_C.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Shadehouse_05,014_Structures_Backup_12_29_2025_2_Shadehouse_05.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,High_Tunnels_05_B,015_Structures_Backup_12_29_2025_2_High_Tunnels_05_B.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,High_Tunnels_05_D,016_Structures_Backup_12_29_2025_2_High_Tunnels_05_D.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,High_Tunnels_06_A,017_Structures_Backup_12_29_2025_2_High_Tunnels_06_A.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,High_Tunnels_06_B,018_Structures_Backup_12_29_2025_2_High_Tunnels_06_B.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,High_Tunnels_06_C,019_Structures_Backup_12_29_2025_2_High_Tunnels_06_C.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,High_Tunnels_06_D,020_Structures_Backup_12_29_2025_2_High_Tunnels_06_D.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Four_Bay_01,021_Structures_Backup_12_29_2025_2_Four_Bay_01.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Four_Bay_2,022_Structures_Backup_12_29_2025_2_Four_Bay_2.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Four_Bay_03,023_Structures_Backup_12_29_2025_2_Four_Bay_03.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Four_Bay_04,024_Structures_Backup_12_29_2025_2_Four_Bay_04.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Four_Bay_05,025_Structures_Backup_12_29_2025_2_Four_Bay_05.geojson,1,Polygon,ok
Structures_Backup_12_29_2025_2.ppkx,Sierra_Gold_Nurseries_Structures.gdb,Four_Bay_06,026_Structures_Backup_12_29_2025_2_Four_Bay_06.geojson,1,Polygon,ok
