package,project,gdb,layer,geometry_kind,reason
Block_#23_Backup_04_09_2026.ppkx,Block #23,Block_#23.gdb,Block_23_Mother_Trees_ExportFeatures,polygon,filtered_helper_or_duplicate_layer
Block_#23_Backup_04_09_2026.ppkx,Block #23,sierra_gold_nurseries_trees.gdb,Block_23_Spaces_PointsToLine1,line,filtered_helper_or_duplicate_layer
Block_#25_Backup_04_09_2026.ppkx,Block #25,Block_#25.gdb,Block_25_Mother_Trees_ExportFeatures,polygon,filtered_helper_or_duplicate_layer
Block_#25_Backup_04_09_2026.ppkx,Block #25,sierra_gold_nurseries_trees.gdb,Block_25_Spaces_PointsToLine3,line,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_irrigation.gdb,Prune_Tree_North_Bufferly_Valve_One,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_irrigation.gdb,Prune_Tree_North_Bufferly_Valve_Two,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_irrigation.gdb,Prune_Tree_North_Bufferly_Valve_Three,line,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_irrigation1.gdb,Prune_Tree_North_Bufferly_Valve_One,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_irrigation1.gdb,Prune_Tree_North_Bufferly_Valve_Two,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Block_30_East_Spaces_Sort,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Block_06_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Block_04_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Hock_Farm_South_Spaces_Sort,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Railroad_South_Spaces_Sort2,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Block_07_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Valley_North_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Prune_North_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Block_25_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Block_05_Spaces_Sort2,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Hock_Farm_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Railroad_North_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Block_01_Spaces_Sort1_Sort,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Prune_South_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Block_02_Spaces_Sort4,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Block_03_Spaces_Sort2,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Block_08_Spaces_Sort2,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Block_09_Spaces_Sort5,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Block_10_Spaces_Sort1,point,filtered_helper_or_duplicate_layer
Irrigation_Backup_04_21_2026.ppkx,Irrigation,sierra_gold_nurseries_trees.gdb,Orange_Tree_Spaces_Merge_Sort_Sort_ExportFeatures1_Sort_Sort,point,filtered_helper_or_duplicate_layer
